company_id,oai_identifier,company_name,company_info_1,company_info_2,pdf_page_num,found_year,found_date_modified,register_year,register_date_modified,effect_date_modified,effect_year,item_rank,purpose,city,bs_text,sboard_text,proc_text,capital_text,volume,industry
1e87fc75b4,1006345701_18970010,"Glückauf-, Actien-Gesellschaft für Braunkohlen-Ver. wertung in Lichtenau. Oberlausitz.",,,627,1871.0,1871-08-03,,,,,1.0,Abbau von Braunkohlenlagern u. Brikettfabrikation. Die Gesellschaft besitzt,Lichtenau,Grundst cke M Grubenwert M Schachtanlagen M Geb ude M,sichtsrat Vors Buchh ndler Abel Dietzel Gumpert Lehmann Prippenow Schwarzenberg,,M 660 000 in 386 Priorit tsaktien M 1 500,1,"Bergwerke, Hütten- und Salinenwesen."
810c9c3435,1006345701_189900031,Deutsch-Oesterreichische Mannesmannröhren-Werke,in Berlin W. u. Düsseldorf mit Zweigniederlassungen u. Werken in,,501,1890.0,1890-07-16,,,,,1.0,"Betrieb der Mannesmannröhren-Walzwerke in Remscheid, Bous u. Komotau.",Berlin,Generaldirektion D sseldorf Mobiliar u Utensilien M Konsignations u Dispositionswaren,Vors Direktor Max Steinthal Stellv Karl v d Heydt Berlin,Dr M Fuchs A Krusche Berlin G Hethey N Eich,M 25 900 000 in 23 875 Inhaber Aktien Lit,3,"Bergwerke, Hütten- und Salinenwesen."
571dfb67e2,1006345701_191900231,"Handwerkerbank Spaichingen, Akt.-Ges. in Spaichingen.",,,345,1889.0,1889-11-24,,,,,1.0,Betrieb von Bank- und Kommissionsgeschäften in allen Zweigen.,Spaichingen,Forderung an Aktion re Immobil Gerichtskosten Mobil B rgschaftsdebit festes,Vors Wilh Lobmiller Stellv Franz Xav Schmid Sales ,,M 600 000 in 600 Aktien M 1000 Urspr M,23,Kredit-Banken und andere Geld-Institute.
d67d97da08,1006345701_191300172,Vorschuss-Anstalt für Malchin A.-G.,,Letzte Statutänd. 10./7. 1900. Kapital: M. 9000 in Aktien.,165,,,,,,,,,A,Forder Effekten u Hypoth Debit Bankguth Kassa Passiva A K,W Deutler E Buhr W Fehlow ,,,17,Geld-Institute etc.
22ac99ae20,1006345701_191200161,Kaisersteinbruch-Actiengesellschaft in Liqu. in Köln.,,,1443,1900.0,1900-03-17,1900.0,1900-04-11,1900-01-01,1900.0,1.0,Betrieb von Steinhauereien u. aller mit dem Baugewerbe,Köln,Steinbr che Steinhauerei Immobil Mannheim Mobil Inventar Debit Warenvorr te,Vors Dr jur P Stephan Rheinbreitbach b Unkel Stellv Rechtsanw,,M 450 000 in 150abgest Vorz Aktien u 300 doppelt,16,Industrie der Steine und Erden.
17d985a2a9,1006345701_190900132,"Saalbau-Actiengesellschaft in Frankfurt a. M., Junghofstr. 20.",,,1799,1859.0,1859-04-15,,,,,1.0,Beschaffung von Konzert- u. Gesellschaftssälen durch Erricht. von,Frankfurt,Immobil Mobil Feuerversich Deutsche Vereinsbank Passiva A K R F,G Clauer Jul Wertheimber Alfred G nther Nic Manskopf Aug,,fl 132 300 M 226 800 in 1323 Nam Aktien,13,"Private und öffentliche Gesellschafts-Häuser, Gärten, Theater, Konzert-, Vergnügungs- und Erholungs-Etablissements."
94b5b72b34,1006345701_190800121,Gewerbebank zu Goch.,,,240,1878.0,1878-08-03,,,,,1.0,,Goch,Kassa Effekten do verf Zs Hypoth do Zs Immobil Wechsel,Vors A van den Bosch Stellv P Jeurgens M Caenders,,M 240 000 in 400 Nam Aktien M 150 und,12,Kredit-Banken und andere Geld-Institute.
c1308f11ef,1006345701_190600102,Gaswerk Ragnit A.- G. Sitz in Bromen. (Aufgelöst.),,,997,1898.0,1898-05-29,,,1905-06-01,1905.0,1.0,,Bromen,,,,M 100 000 in 13 Aktien M 1000 Anleihe M,10,Gas-Gesellschaften.
5035aea0e2,1006345701_190800121,"Max Plümacher, Metallwarenfabrik Akt.-Ges. in Weyer",(Rheinland).,,1013,1906.0,1906-10-26,1907.0,1907-02-15,,,1.0,Fabrikation und Vertrieb von Metallwaren aller Art.,Weyer,,,,M 1 100 000 in 1100 Aktien M 1000 ,12,Metall-Industrie.
c07d00a0bc,1006345701_18970010,Deutsche Gold- u. Silber-Scheide-Anstalt vorm. Rössler,in Frankfurt a. M.,,740,,,,,,,1.0,,Frankfurt,,,,M 5 000 000 in 3000 Aktien M 600 und,1,Metall-Industrie.
04d4f1304a,1006345701_190000042,Actien-Bierbrauerei Meissner Felsenkeller in Meissen.,,,321,1885.0,1885-08-03,,,,,1.0,Bierbrauereibetrieb. Specifikation des Besitztums s. Bilanz. Bierabsatz 1890/91––,Meissen,Immobilien Maschinen Gef sse Pferde Wagen u Geschirre Utensilien Wasserwerk,,,M 600 000 in 600 Aktien Nr 1 600 M,4,Brauereien.
982fe71b1b,1006345701_18970010,Brauerei zum Felsenkeller in Plauen bei Dresden.,"(Siehe Teil II, Seite 305/6.)",,1502,,,,,,,,,Dresden,Immobiliar M Felsenkeller M Maschinen M K hlanlage M Brauereiger,,,,1,Nachtrag.
559b6fa632,1006345701_192000242,Aktiengesellschaft Berliner Luxuspapierfabrik,"vorm. Hohenstein & Lange in Liqu. in Berlin-Wilmersdorf, Sächsische Str.",,1204,1898.0,1898-07-04,,,1898-01-01,1898.0,1.0,,Berlin,Grundst cke u Geb ude Amort F Debit Liguid Kto,,,M 50 000 in 50 Aktien M 1000 Urspr A,24,Papier-Industrie
d3f9921b00,1006345701_191900232,Badische Brauerei in Mannheim.,,Die a. o. G.-V. v. 4./9. 1918 genehmigte einen Verschmelzungsvertrag,1727,1887.0,1887-01-01,,,,,1.0,,Mannheim,Liegenschaften Brauerei u M lzerei versch H user Grundst ck,,,M 1 500 000 in 1500 gleichber Aktien M 1000,23,Brauereien.
032ba76e05,1006345701_192000242,"Stettiner Klectricitätswerke in Stettin, Schulzenstrasse 21.",,,972,1890.0,1890-10-16,1890.0,1890-11-28,,,1.0,,Stettin,Immobil Grund u Boden Schulzen P litzer ,Vors Dir R Werner Stellv Stadtrat R Klitscher Stettin Baurat,,M 5 000 000 in 5000 Aktien M 1000 Urspr,24,"Elekrtotechnische Fabriken, Elektrizitätswerke und Hilfsgeschäfte."
909b93738c,1006345701_192000242,"Gas- und Wasserwerke Montjoie, A.-G., Sitz in Bremen,",Langenstr. 139/140.,,1682,1897.0,1897-08-28,,,,,1.0,,Bremen,Grundst ck Gaswerkanlagen Wasserwerksanlagen Kassa Debet Warenvorr te Assekuranz Kautionseffektenkto,Vors Carl Francke jun Rich Dunkel Bremen Stellv B rgermeister,,M 230 000 in 230 Aktien M 1000 Urspr M,24,Gas-Gesellschaften.
f4686fd499,1006345701_191000142,Max Brandenburg Berliner Pumpenfabrik Akt.-Ges.,in Treptow bei Berlin.,,784,1906.0,1906-11-29,1906.0,1906-12-05,1906-01-01,1906.0,1.0,Fortbetrieb der von dem Fabrikbes. Max Brandenburg unter,Berlin,Grundst ck u Geb ude Masch u Werkzeuge Inventar Modelle,Vors Dir Jos Berliner Hannover Stellv Dir Wilh Schultze Berlin,,M 500 000 in 500 Aktien M 1000 Hypothek M,14,"Maschinen- und Armaturen-Fabriken, Eisengiessereien etc."
63901d8974,1006345701_190300071,Bad Arienheller Aktiengesellschaft in Arienheller,bei Rheinbrohl.,,1828,1899.0,1899-11-24,1900.0,1900-05-12,,,1.0,Betrieb des Mineralbades und Hotels Jaegerhof und aller,Arienheller,Grundbesitz Geb ude Mobilien Kassa ausstehende Einzahlungen auf Aktien Gespanne,,,M 419 000 in 419 Aktien Nr 1 419 M,7,"Bäder, Quellen-Produkte, Wasch-Anstalten etc."
f9b647c18e,1006345701_192000241,"Transatlautische Güterversich.-Gesellschaft, Berlin W. 9,",Königin-Augustastrasse 10 /11.,,702,,,,,,,1.0,Versich. gegen die Gefahren des Transportes sowie aller,W,Einzahlungsverpflicht d Aktion re Grundbesitz Hypoth Forder Wertp Wechsel Kassa,Vors Geh Komm Rat Konsul G von L der Dresden,Max Schersath Georg Lincke ,M 3 750 000 in 2500 Nam Aktien Tlr 500,24,Versicherungs-Gesellschaften aller Branchen
6a84f10378,1006345701_191700212,Transatlantische Feuer-Versicherungs-Actien-Gesellschaft,"in Hamburg, Grosse Bleichen 27. (In Liquid.)",,506,1872.0,1872-02-10,,,,,1.0,,Hamburg,Ausst nde bei Agenten Guth bei Banken u Bankh usern,Vors Herm Robinow Hamburg Stellv F W Oetling Konsul H,,M 6 000 000 in 4000 Nam Aktien Thlr 500,21,Versicherungs-Gesellschaften.
119faa4201,1006345701_191100151,Transatlantische Rückversicherungs-Gesellschaft in Liqu.,"in Hamburg, Alter Wall 10.",,714,1876.0,1876-08-03,,,,,1.0,"Versich. gegen alle Gefahren der See- u. Flussschiffahrt,",Liqu,Bankguth Effekten Debit Verlust Passva A K Kap R F,Vors Konsul H C Ed Meyer Stellv Dietrich Hermsen Hamburg,,M 1 000 000 in 500 Nam Aktien M 2000,15,Versicherungs-Gesellschaften aller Branchen.
d759fb6b6b,1006345701_190300071,Memeler Actien-Brauerei und Destillation in Memel.,,,1924,1871.0,1871-03-04,,,,,1.0,Fabrikation von Bier und Spirituosen. Übernahme der J.,Memel,Grundst cke Inventar u Utensil Fuhrwerk Futterbest nde Kassa Girokto,Vors Konsul H Gerlach Stellv Kaufm Otto Meyer Otto May,,M 450 000 in 1500 Aktien Nr 1 1500 Thlr,7,Brauereien.
03d559a18b,1006345701_190500091,Memeler Kleinbahn-Akt.-Ges. in Memel.,,,1681,1904.0,1904-04-15,1904.0,1904-04-19,,,1.0,Bau u. der Betrieb folgender Kleinbahnlinien: a) von,Memel,,Reg Rat Dr Hassenstein Eisenbahnbau u Betriebsinsp Schaeffer Landesnauptm von,,M 2 800 000 in 2800 Aktien M 1000 ,9,"Elektrische Strassenbahnen, Klein- und Pferdebahnen etc."
5bcbcec7e3,1006345701_190500091,Memeler Dampfschiffs-Aktien-Gesellschaft in Memel.,,,657,1880.0,1880-08-03,,,,,1.0,,Memel,Wert d Dampfer Grundst ck Effekten Kontor u Inventar Material,Vors Konsul Herm Gerlach Konsul Louis M ller R Fehre,,,9,"Dampfschiffahrts-Gesellschaften, Rhedereien etc."
2f44dca48a,1006345701_190200061,Memeler Holz-Industrie-Aktien-Gesellschaft in Memel.,,,1739,1896.0,1896-04-20,,,,,1.0,"Verwertung von Holz, Holzabfällen und Sägemehl, Holzdestillation, sowie",Memel,Grundst ck Geb ude Maschinen Wasserversorgungsanlage Patentverwertungskto elektr Anlage Utensilien,,,M 650 000 in 650 Aktien Nr 1 650 M,6,"Holz-Industrie, Möbel-Fabriken etc."
6558c7b7ff,1006345701_191000142,"Deutsche Cotton-Oel-Werke, Akt.-Ges. in Liquid. in Köln.",,,1100,1899.0,1899-09-19,,,,,1.0,,Köln,Debit A K R ckzahl Kto Verlust Sa M Passiva,Vors E Schulte M nting C ln Stellv Rentner Georg,,M 1 000 000 in 1000 Aktien M 1000 Auf,14,Chemische Industrie und verwandte Geschäftszweige.
7366631a01,1006345701_191100151,Coesfelder Buntweberei Akt.-Ges. in Coesfeld.,,,1967,1908.0,1908-05-26,1908.0,1908-05-27,,,1.0,Erwerb und Betrieb von Buntwebereien und der Betrieb,Coesfeld,Grundst cke u Geb ude Masch u Utensil Kontoreinricht Fuhrwerk,Vors Unterstaatssekret r a D Franz Sterneberg Exz Gross Lichterfelde,,M 840 000 in 840 Aktien M 1000 Hypotheken M,15,Textil-Industrie.
3fbad4ed86,1006345701_191800222,Mech. Buntweberei vorm. Kolb & Schüle Akt.-Ges.,in Kirchheim u. Teck.,,1059,1898.0,1898-03-22,1898.0,1898-05-24,1897-07-01,1897.0,1.0,Erwerb und Weiterbetrieb der früher unter der Firma,Kirchheim,Grundst cke Geb ude Masch u ,Vors Komm Rat R F Sch le Stellv Rechtsanwalt Osterieder,,M 1 200 000 in 1200 Aktien M 1000 Urspr,22,Textil-Industrie.
81ff66769a,1006345701_190300071,"Krefelder Stahlwerk, Act.-Ges. in Krefeld.",,,921,1900.0,1900-04-05,1900.0,1900-05-29,,,1.0,"Betreibung von Handelsgeschäften jeder Art, insbes. Errichtung und",Krefeld,Kassa Rohmaterialien Debitoren Immobilien Mobilien Maschinen Verlust Passiva A K,Vors Gen Dir Franz Burgers Bulmke b Gelsenkirchen Aug Thyssen,,M 1 000 000 in 1000 Aktien Nr 1 1000,7,"Bergwerke, Hütten- und Salinenwesen."
8c13db8f45,1006345701_191900231,"Hamburger Immobilien-A.-G. in Hamburg,",Kleine Johannisstr. 9.,,616,1906.0,1906-07-04,1906.0,1906-07-10,,,1.0,Ankauf u. Verwertung von Immobilien aller Art sowie,Hamburg,Renten Hypoth Depot f r Strassenbau Kassa Bankguth Hypoth u,Vors Konsul Henry J W Behrmann Rentier Alb Gust Witt,,M 1 000 000 in 1000 Aktien M 1000 ,23,"Bau-Banken, Bau-, Terrain- und Immobilien-Gesellschaften etc."
d55cad66e6,1006345701_191800221,"Rickmers Rhederei u. Schiffbau A.-G. in Bremen,","Zweigniederlassungen in Bremerhaven, Geestemünde u. Hamburg.","(Firma bis 28./5. 1914: Rickmers Reismühlen, Rhederei u. Schiff bau",828,1889.0,1889-03-01,,,,,1.0,Betrieb von Rhederei und Schiffbau. Ein Teil des,Bremen,Schiffspark Seedampfer im Bau befindl Schiffe bebaute Grundst cke B,Vors Bank Dir Dr H Schacht Berlin Justizrat Dr Schad,J F Schr der Hamburg F J Th K hler,M 13 000 000 in 13 000 Aktien M 1000,22,"Dampfschiffahrts-Gesellschaften, Rhedereien etc."
217790f5f5,1006345701_190500092,"Berliner Neueste Nachrichten, Aktiengesellschaft","Sitz in Berlin, Leipziger Strasse 103/II. (In Liquidation.)",,667,1900.0,1900-12-01,1901.0,1901-01-25,,,1.0,,Berlin,Verlagskto Verlust Sa M Passiva A K M Dividende Liquidator,Geh Finanzrat Hanns Jencke Dresden Geh Komm Rat Carl Lueg,,M 575 000 in 575 Nam Aktien M 1000 ,9,Polygraphische Gewerbe.
894c31a523,1006345701_191600202,Düsseldorfer Verlags-Anstalt A.-G. in Düsseldorf.,(In Liquidation.),,1311,1894.0,1894-08-03,,,,,1.0,,Düsseldorf,Aktiva Anlagen Postscheck Debit Gesch ftseinf hrung Passiva A K,,,M 300 000 in Aktien Urspr M 200 000 erh,20,Polygraphische Gewerbe.
71367e7e47,1006345701_192000241,"Dampfkesselfabrik vorm. A. Rodberg, A.-G. in Darmstadt.",,,1433,1899.0,1899-03-23,,,,,1.0,"Herstellung von Dampfkesseln, Apparaten, Eisenkonstruktionen, sowie aller in",Darmstadt,Grundst cke Geb ude Betriebs u Werkzeug Masch Werkzeugkto Zeichnungen,Vors Rechtsanw Friedr K nig Stellv Konsul Paul Baus BrauereiDir,,M 1 000 000 in 1000 Aktien M 1000 Urspr,24,"Maschinen- und Armaturen-Fabriken, Eisengiessereien etc."
4c052485b4,1006345701_191900231,Bayerische Sprengstoff-Akt.-Ges. in Nürnberg.,,,1968,1918.0,1918-02-16,1918.0,1918-06-17,,,1.0,Erwerb u. Fortführung des von Louis Cahüc unter,Nürnberg,,Vors Komm Rat Josef B hm M nchen Dir Fritz,Dir Dr Hugo Jakob Dir Dr E Kayser Neumarkt i,M 3 000 000 in 3000 Aktien M 1000 bernommen,23,"Pulver-, Sprengstoff- und Zündwaren-Fabriken."
1c00a08942,1006345701_190400082,Mülheimer Brauerei-Gesellschaft vorm. Jonas Kreutzer,in Mülheim (Rhein).,,1297,1896.0,1896-07-01,,,,,1.0,,Mülheim,Immobil I do II Masch Fastagen Fuhrpark Mobil Utensil Warenvorr,,,M 600 000 in 600 Aktien M 1000 Hypotheken M,8,Brauereien.
e13b5e8a33,1006345701_191200161,Mülheimer Bank in Mülheim a. d. Ruhr,"mit Filialen in Oberhausen, Hamborn u. Sterkrade.",,334,1889.0,1889-05-28,,,,,1.0,Betrieb aller Arten von Bank- und Handelsgeschäften.,Mülheim,Kassa Wechsel Bankgeb ude Immobil abz Hypoth blei ktp Zinsscheine,Mind Vors Komm Rat Gust Stinnes M lheim Ruhr Stellv,F Doench L Mostersteg M lheim E Buschmann O Gethmann,M 9 000 000 in 9000 Aktien M 1000 Urspr,16,Kredit-Banken und andere Geld-Institute.
