company_id,oai_identifier,company_name,company_info_1,company_info_2,pdf_page_num,found_year,found_date_modified,register_year,register_date_modified,effect_date_modified,effect_year,item_rank,purpose,city,bs_text,sboard_text,proc_text,capital_text,volume,industry
0008e07878,1006345701_189800021,"„Glückauf-', Act.-Ges. für Braunkohlen-Verwertung.",,,1038,1871.0,1871-08-03,,,,,1.0,Abbau von Braunkohlenlagern u. Brikettfabrikation. Die Gesellschaft besitzt,,Grundst cke M Grubenwert M Schachtanlagen M Geb ude M,Vors Buchh ndler Abel Dietzel Gumpert Lehmann Prippenow Schwarzenberg ,,M 660 000 in 386 Vorzugsaktien M 1500 14 Aktien,2,Nachtrag.
8bf51ba8a0,1006345701_189900032,Deutsch-Oesterreichische Mannesmannröhren-Werke.,"Sitz in Berlin, Generaldirektion in Düsseldorf, Werke in Remscheid, Bous",,222,1890.0,1890-07-16,,,,,1.0,"Betrieb der Mannesmannröhren-Walzwerke in Remscheid, Bous und Komotau.",Berlin,Generaldirektion Grundst ckskonto M Mobilien Utensilien M Konsortialbeteiligung M Konsignations,Vors Bankdirektor Max Steinthal Stellv Bankdirektor Carl F rstenberg Bankier,Dr M Fuchs A Krusche Berlin G Hethey N Eich,M 25 900 000 in 23 875 Inhaber Aktien Lit,3,"Bergwerke, Hütten- und Salinenwesen."
90b6db7ed3,1006345701_191900232,"Handwerkerbank Spaichingen, Akt.-Ges. in Spaichingen",(in Liquidation).,,168,1889.0,1889-11-24,,,,,1.0,Betrieb von Bank- und Kommissionsgeschäften in allen Zweigen.,Spaichingen,,Vors Wilh Lobmiller Stellv Frans Nav Schmid Sales ,,M 600 000 in 600 Aktien M 1000 Urspr M,23,Geld-Institute etc.
b0c68f1152,1006345701_191400182,%% für Malchin A.-G. in Malchin.,(In Liquidation.) Letzte Statutänd. 10./7. 1900. Kapital: M. 9000 in,,193,,,,,,,,,Malchin,Forder Effekten u Hypoth Debit Bankguth Kassa Passiva A K,W Deutler E Buhr W Fehlow ,,,18,Kredit-Banken und andere Geld-Institute.
e9823a3073,1006345701_190700112,"Kaisersteinbruch-Actiengesellschaft in Köln,",Zweiggeschäfte in Berlin u. Hamburg.,,818,1900.0,1900-03-17,1900.0,1900-04-11,1900-01-01,1900.0,1.0,Betrieb von Steinhauereien u. aller mit dem Baugewerbe,Köln,Steinbr che Steinhauerei Grundst ck Mannheim Masch Werkzeuge u Ger,Vors Rechtsanw Dr jur Max Liertz Stellv Stadtbaurat a D,,M 900 000 in 900 Aktien wovon 600 abgest M,11,Industrie der Steine und Erden.
593c86c712,1006345701_191200162,"Saalbau-Actiengesellschaft in Frankfurt a. M., Junghofstr. 20.",,,1575,1859.0,1859-04-15,,,,,1.0,Beschaffung von Konzert- u. Gesellschaftssälen durch Erricht. von,Frankfurt,Immobil Mobil Feuerversicherung Deutsche Vereinsbank Effekten Passiva A K R,G Clauer Jul Wertheimber Alfred G nther Nic Manskopf Aug,,fl 132 300 M 226 8000 in 1323 Nam Aktien,16,"Private und öffentliche Gesellschafts-Häuser, Konzert-, Vergnügungs- und Erholungs-Etablissements."
fe9da2c9c0,1006345701_191100151,Gewerbebank zu Goch.,,,255,1878.0,1878-08-03,,,,,1.0,,Goch,Kassa Effekten verf Zs u Mieten Hypoth Immobil Wechsel Debit,Vors A van den Bosch M Caenders P van ,,M 240 000 in 400 Nam Aktien M 150 und,15,Kredit-Banken und andere Geld-Institute.
d2b4fcb3b9,1006345701_190300072,"Gaswerk Salbke A.-G., Sitz in Bremen.",,,923,1898.0,1898-03-18,,,,,1.0,,Bremen,Aktiva Grundst ck u Gaswerk Kassa Lager Debit vorausbez Versich,,,M 215 000 in 215 Aktien Nr 1 215 M,7,Gas-Gesellschaften.
32ff30fce4,1006345701_190800122,"Max Plümacher, Metallwarenfabrik Akt.-Ges. in Weyer",(Rheinland).,,602,1906.0,1906-10-26,1907.0,1907-02-15,1906-07-01,1906.0,1.0,Fabrikation und Vertrieb von Metallwaren aller Art.,Weyer,Kassa Wechsel Immobil Masch u Utensil Ger te Debit Bankguth,,,M 1 100 000 in 1100 Aktien M 1000 Gesch,12,Metall-Industrie.
96ccff14f0,1006345701_190100052,Deutsche Gold- u. Slibe Ale vorm. Roessler,in Frankfurt a. M.,,436,1873.0,1873-08-03,,,,,1.0,"Ein- und Verkauf von Edelmetallen, Schmelzen und Scheiden",Frankfurt,Aktiva Vorr tige Edelmetalle Wechsel Kassa u Reichsbankguthaben Bankguthaben vorr,Vors Geh Justizrat Dr jur C Hamburger Stellv Gen Konsul,,M 6 000 000 in 3000 Aktien Nr 1 3000,5,Metall-Industrie.
cab76e9bfa,1006345701_190000042,Actien-Bierbrauerei Meissner Felsenkeller in Meissen.,,,1281,1885.0,1885-08-03,,,,,1.0,Bierbrauereibetrieb. Specifikation des Besitztums s. Bilanz. Bierabsatz 1890/91–1,Meissen,Immobilien Maschinen Gef sse Pferde Wagen u Geschirre Utensilien Wasserwerk,,,M 600 000 in 600 Aktien Nr 1 600 M,4,Brauereien.
cb9a217b8b,1006345701_190000042,Brauerei zum Felsenkeller bei Dresden,,,354,1856.0,1856-08-03,,,,,1.0,Betrieb einer Brauerei in Plauen bei Dresden. Bierabsatz,Dresden,Immobiliar Baukto Felsenkeller Maschinen K hlanlage Brauereiger tschaften Fastagen Mobiliar,Vors A E Blembel Firmenzeichnung Zwei Dir ,,M 900 000 in 3000 Aktien Nr 1 3000 M,4,Brauereien.
079a9fce2b,1006345701_191000141,Aktiengesellschaft Berliner Luxuspapierfabrik,"vormals Hohenstein & Lange in Liqu. in Berlin, Prinzen-Allee 84.",,1627,1898.0,1898-07-04,,,1898-01-01,1898.0,1.0,,Berlin,Grundst cke Geb ude Amort Kto Masch Utensil Werkzeuge Steine,Herm Gr nwald Bernh Gr nwald Berlin Franz Wustrow Charlottenburg,,M 1 000 000 in 1000 Aktien M 1000 Urspr,14,"Papier-, Pappen- und Cellulose-Fabriken."
9b5871eb41,1006345701_190000042,"4, 5, B, 6, 6, 6% Zahlbar am I. Pebr. Badische Brauerei in Mannheim.",,,317,1887.0,1887-01-01,,,,,1.0,"Bierbrauerei- und Mälzereibetrieb, Betrieb von Wirtschaften, Für ein",Mannheim,Immobilien Brauerei M lzerei H user Schuppen u Kantinenbau Mobilien,Vors Alfred Lenel Stellv Joseph Pallenberg Rechtsanwalt Dr Isid Rosenfeld,tsaktien gleichber Aktien Ende Notiert in Mannheim ,M 1 500 000 in 1500 gleichber Aktien Nr 1,4,Brauereien.
